 Node   position   x[mm]   xp[mrad]   y[mm]   yp[mrad]
       HEBT1:HEBT_Diag:BPM11:1:drift  41.24750    5.1339  -0.4450  -10.8352  -1.5647
            HEBT_Mag:QV11_fringe_out  41.75250    5.1927  0.6798  -11.0149  0.8598
         HEBT1:HEBT_Mag:QV11:1:drift  41.97310    5.3426  0.6798  -10.8253  0.8598
        HEBT2:Begin_Of_HEBT2:1:drift  42.20061    5.4973  0.6798  -10.6297  0.8598
            HEBT_Mag:DH11_fringe_out  47.63261    9.0248  0.5919  -5.9439  0.8344
         HEBT2:HEBT_Mag:DH11:1:drift  48.10791    9.3220  0.6240  -5.5372  0.8556
         HEBT2:HEBT_Mag:DH11:2:drift  48.58321    9.6185  0.6240  -5.1305  0.8556
            HEBT_Mag:QH12_fringe_out  49.08321    9.4578  -1.2617  -4.9493  -0.1246
         HEBT2:HEBT_Mag:QH12:1:drift  49.53382    8.8893  -1.2617  -5.0054  -0.1246
            HEBT_Mag:DH12_fringe_out  54.96582    2.0188  -1.2878  -5.6332  -0.1250
         HEBT2:HEBT_Mag:DH12:1:drift  55.44112    1.4107  -1.2806  -5.6832  -0.1052
         HEBT2:HEBT_Mag:DH12:2:drift  55.91643    0.8020  -1.2806  -5.7332  -0.1052
            HEBT_Mag:QV13_fringe_out  56.41643    0.1889  -1.1907  -5.5249  0.9322
         HEBT2:HEBT_Mag:QV13:1:drift  56.86704    -0.3477  -1.1907  -5.1048  0.9322
            HEBT_Mag:DH13_fringe_out  62.29904    -6.7434  -1.1500  0.0173  0.9389
         HEBT2:HEBT_Mag:DH13:1:drift  62.62273    -7.1235  -1.1740  0.3212  0.9389
         HEBT2:HEBT_Mag:DH13:2:drift  62.94643    -7.5035  -1.1740  0.6251  0.9389
        HEBT2:HEBT_Mag:DCH14:1:drift  63.24964    -7.8595  -1.1740  0.9098  0.9389
            HEBT_Mag:QH14_fringe_out  63.74964    -8.0548  0.3991  1.4319  1.1666
         HEBT2:HEBT_Mag:QH14:1:drift  64.20025    -7.8750  0.3991  1.9576  1.1666
            HEBT_Mag:DH14_fringe_out  69.63225    -5.7217  0.4191  8.2576  1.1593
         HEBT2:HEBT_Mag:DH14:1:drift  69.95595    -5.5914  0.3987  8.6233  1.1298
         HEBT2:HEBT_Mag:DH14:2:drift  70.27964    -5.4623  0.3987  8.9890  1.1298
        HEBT2:HEBT_Mag:DCV15:1:drift  70.58286    -5.3414  0.3987  9.3316  1.1298
            HEBT_Mag:QV15_fringe_out  71.08286    -5.3851  -0.5748  9.4645  -0.6023
         HEBT2:HEBT_Mag:QV15:1:drift  71.53347    -5.6441  -0.5748  9.1931  -0.6023
            HEBT_Mag:DH15_fringe_out  76.96547    -8.6857  -0.5188  5.8174  -0.6093
         HEBT2:HEBT_Mag:DH15:1:drift  77.29460    -8.8660  -0.5498  5.6101  -0.6299
        HEBT2:HEBT_Diag:WS16:1:drift  77.61286    -9.0410  -0.5498  5.4096  -0.6299
        HEBT2:HEBT_Mag:DCH16:1:drift  77.81016    -9.1494  -0.5498  5.2853  -0.6299
       HEBT2:HEBT_Diag:BPM16:1:drift  77.91608    -9.2077  -0.5498  5.2186  -0.6299
            HEBT_Mag:QH16_fringe_out  78.41608    -9.0304  1.2530  5.1564  0.3790
         HEBT2:HEBT_Mag:QH16:1:drift  78.86669    -8.4658  1.2530  5.3272  0.3790
            HEBT_Mag:DH16_fringe_out  84.29869    -1.7397  1.2479  7.2481  0.3461
         HEBT2:HEBT_Mag:DH16:1:drift  84.62238    -1.3368  1.2417  7.3517  0.3200
         HEBT2:HEBT_Mag:DH16:2:drift  84.94607    -0.9349  1.2417  7.4552  0.3200
        HEBT2:HEBT_Mag:DCV17:1:drift  85.14338    -0.6899  1.2417  7.5184  0.3200
       HEBT2:HEBT_Diag:BPM17:1:drift  85.24931    -0.5584  1.2417  7.5523  0.3200
            HEBT_Mag:QV17_fringe_out  85.74931    0.0462  1.1952  7.3672  -1.0548
         HEBT2:HEBT_Mag:QV17:1:drift  86.19992    0.5848  1.1952  6.8919  -1.0548
            HEBT_Mag:DH17_fringe_out  91.63192    7.0389  1.1727  1.0230  -1.0815
         HEBT2:HEBT_Mag:DH17:1:drift  92.05425    7.5447  1.1978  0.5647  -1.0852
         HEBT2:HEBT_Mag:DH17:2:drift  92.47659    8.0506  1.1978  0.1064  -1.0852
       HEBT2:HEBT_Diag:BPM18:1:drift  92.58253    8.1775  1.1978  -0.0086  -1.0852
            HEBT_Mag:QH18_fringe_out  93.08253    8.3691  -0.4378  -0.5605  -1.1405
         HEBT2:HEBT_Mag:QH18:1:drift  93.53314    8.1718  -0.4378  -1.0745  -1.1405
            HEBT_Mag:DH18_fringe_out  98.96514    5.7652  -0.4739  -7.2665  -1.1460
         HEBT2:HEBT_Mag:DH18:1:drift  99.38747    5.5746  -0.4534  -7.7396  -1.1203
         HEBT2:HEBT_Mag:DH18:2:drift  99.80981    5.3832  -0.4534  -8.2127  -1.1203
       HEBT2:HEBT_Diag:BPM19:1:drift  99.91575    5.3351  -0.4534  -8.3314  -1.1203
            HEBT_Mag:QV19_fringe_out  100.41575    5.3508  0.5164  -8.5050  0.4312
         HEBT2:HEBT_Mag:QV19:1:drift  100.84342    5.5717  0.5164  -8.3206  0.4312
         HEBT2:HEBT_Mag:QV19:2:drift  101.27109    5.7925  0.5164  -8.1362  0.4312
       HEBT2:HEBT_Diag:BSM19:1:drift  101.73133    6.0302  0.5164  -7.9378  0.4312
       HEBT2:HEBT_Diag:BSM19:2:drift  102.19157    6.2679  0.5164  -7.7393  0.4312
       HEBT2:HEBT_Diag:BSM19:3:drift  102.65181    6.5056  0.5164  -7.5409  0.4312
       HEBT2:HEBT_Diag:BSM19:4:drift  103.11205    6.7433  0.5164  -7.3424  0.4312
       HEBT2:HEBT_Diag:BSM19:5:drift  103.57229    6.9810  0.5164  -7.1440  0.4312
       HEBT2:HEBT_Diag:BSM19:6:drift  104.03253    7.2187  0.5164  -6.9455  0.4312
       HEBT2:HEBT_Diag:BSM19:7:drift  104.49277    7.4563  0.5164  -6.7471  0.4312
       HEBT2:HEBT_Diag:BSM19:8:drift  104.95301    7.6940  0.5164  -6.5486  0.4312
       HEBT2:HEBT_Diag:BSM19:9:drift  105.41325    7.9317  0.5164  -6.3502  0.4312
            HEBT_Mag:QH20_fringe_out  105.91825    7.7541  -1.2133  -6.4820  -0.9581
         HEBT2:HEBT_Mag:QH20:1:drift  106.04891    7.5956  -1.2133  -6.6072  -0.9581
       HEBT2:HEBT_Diag:BPM20:1:drift  106.41354    7.1532  -1.2133  -6.9565  -0.9581
       HEBT2:HEBT_Diag:BPM20:2:drift  106.77817    6.7108  -1.2133  -7.3059  -0.9581
        HEBT2:HEBT_Diag:WS20:1:drift  107.24068    6.1496  -1.2133  -7.7490  -0.9581
        HEBT2:HEBT_Diag:WS20:2:drift  107.70320    5.5884  -1.2133  -8.1922  -0.9581
        HEBT2:HEBT_Diag:WS20:3:drift  108.16571    5.0272  -1.2133  -8.6353  -0.9581
       HEBT2:HEBT_Diag:BCM20:1:drift  108.61522    4.4818  -1.2133  -9.0660  -0.9581
       HEBT2:HEBT_Diag:BCM20:2:drift  109.06473    3.9364  -1.2133  -9.4966  -0.9581
       HEBT2:HEBT_Diag:BCM20:3:drift  109.51423    3.3910  -1.2133  -9.9273  -0.9581
       HEBT2:HEBT_Diag:BCM20:4:drift  109.96374    2.8456  -1.2133  -10.3580  -0.9581
       HEBT2:HEBT_Diag:BCM20:5:drift  110.41325    2.3002  -1.2133  -10.7887  -0.9581
            HEBT_Mag:QV21_fringe_out  110.91825    1.8106  -0.7447  -10.6421  1.5328
         HEBT2:HEBT_Mag:QV21:1:drift  111.04891    1.7133  -0.7447  -10.4419  1.5328
       HEBT2:HEBT_Diag:BPM21:1:drift  111.18590    1.6112  -0.7447  -10.2319  1.5328
        HEBT2:HEBT_Mag:DCV21:1:drift  111.43733    1.4240  -0.7447  -9.8465  1.5328
        HEBT2:HEBT_Mag:DCV21:2:drift  111.68876    1.2368  -0.7447  -9.4611  1.5328
        HEBT2:HEBT_Diag:WS21:1:drift  112.14940    0.8937  -0.7447  -8.7550  1.5328
        HEBT2:HEBT_Diag:WS21:2:drift  112.61004    0.5507  -0.7447  -8.0490  1.5328
        HEBT2:HEBT_Diag:WS21:3:drift  113.07068    0.2077  -0.7447  -7.3429  1.5328
        HEBT2:HEBT_Diag:WS21:4:drift  113.53133    -0.1354  -0.7447  -6.6368  1.5328
        HEBT2:HEBT_Diag:WS21:5:drift  113.99197    -0.4784  -0.7447  -5.9308  1.5328
        HEBT2:HEBT_Diag:WS21:6:drift  114.45261    -0.8214  -0.7447  -5.2247  1.5328
        HEBT2:HEBT_Diag:WS21:7:drift  114.91325    -1.1645  -0.7447  -4.5186  1.5328
            HEBT_Mag:QH22_fringe_out  115.41825    -1.4551  -0.3933  -4.0332  0.4110
         HEBT2:HEBT_Mag:QH22:1:drift  115.54891    -1.5065  -0.3933  -3.9795  0.4110
       HEBT2:HEBT_Diag:BPM22:1:drift  115.68590    -1.5603  -0.3933  -3.9232  0.4110
        HEBT2:HEBT_Mag:DCH22:1:drift  115.93733    -1.6592  -0.3933  -3.8199  0.4110
