Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: c:\USER\SHISHLO\SNS_Physics\Cavities_Filed_Calculations\MEBT\sfish\SF.INI  4-04-2003  16:43:54
Solution file C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.T35.
Memory used for SFIN-1_8CM.T35 arrays:     752.388 K
Reading keyword commands and data from file:
C:\USER\SHISHLO\SNS_PHYSICS\CAVITIES_FILED_CALCULATIONS\MEBT\SFISH\SFIN-1_8CM.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (5.048,1.8)
Z and R increments:   200    50

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   1.96872       0.00000      8.780068E-01  0.000000E+00  8.780068E-01  0.000000E+00
   1.99396       0.00000      8.528466E-01  0.000000E+00  8.528466E-01  0.000000E+00
   2.01920       0.00000      8.279524E-01  0.000000E+00  8.279524E-01  0.000000E+00
   2.04444       0.00000      8.039911E-01  0.000000E+00  8.039911E-01  0.000000E+00
   2.06968       0.00000      7.806075E-01  0.000000E+00  7.806075E-01  0.000000E+00
   2.09492       0.00000      7.578017E-01  0.000000E+00  7.578017E-01  0.000000E+00
   2.12016       0.00000      7.351164E-01  0.000000E+00  7.351164E-01  0.000000E+00
   2.14540       0.00000      7.134599E-01  0.000000E+00  7.134599E-01  0.000000E+00
   2.17064       0.00000      6.923510E-01  0.000000E+00  6.923510E-01  0.000000E+00
   2.19588       0.00000      6.717897E-01  0.000000E+00  6.717897E-01  0.000000E+00
   2.22112       0.00000      6.512379E-01  0.000000E+00  6.512379E-01  0.000000E+00
   2.24636       0.00000      6.317618E-01  0.000000E+00  6.317618E-01  0.000000E+00
   2.27160       0.00000      6.127979E-01  0.000000E+00  6.127979E-01  0.000000E+00
   2.29684       0.00000      5.943464E-01  0.000000E+00  5.943464E-01  0.000000E+00
   2.32208       0.00000      5.758230E-01  0.000000E+00  5.758230E-01  0.000000E+00
   2.34732       0.00000      5.583832E-01  0.000000E+00  5.583832E-01  0.000000E+00
   2.37256       0.00000      5.414174E-01  0.000000E+00  5.414174E-01  0.000000E+00
   2.39780       0.00000      5.249256E-01  0.000000E+00  5.249256E-01  0.000000E+00
   2.42304       0.00000      5.083056E-01  0.000000E+00  5.083056E-01  0.000000E+00
   2.44828       0.00000      4.927473E-01  0.000000E+00  4.927473E-01  0.000000E+00
   2.47352       0.00000      4.776237E-01  0.000000E+00  4.776237E-01  0.000000E+00
   2.49876       0.00000      4.629347E-01  0.000000E+00  4.629347E-01  0.000000E+00
   2.52400       0.00000      4.480811E-01  0.000000E+00  4.480811E-01  0.000000E+00
   2.54924       0.00000      4.342461E-01  0.000000E+00  4.342461E-01  0.000000E+00
   2.57448       0.00000      4.208065E-01  0.000000E+00  4.208065E-01  0.000000E+00
   2.59972       0.00000      4.077625E-01  0.000000E+00  4.077625E-01  0.000000E+00
   2.62496       0.00000      3.945331E-01  0.000000E+00  3.945331E-01  0.000000E+00
   2.65020       0.00000      3.822646E-01  0.000000E+00  3.822646E-01  0.000000E+00
